Date,Open,High,Low,Close,Adj Close,Volume
27-Jan,2051.469971,2055.719971,2002.27002,2008.719971,2008.719971,15567300
3-Feb,2010.599976,2098.530029,2000.25,2079.280029,2079.280029,23842900
10-Feb,2085.01001,2185.949951,2084.959961,2134.870117,2134.870117,19774500
17-Feb,2125.02002,2185.100098,2088,2095.969971,2095.969971,13284400
24-Feb,2003.180054,2039.300049,1811.130005,1883.75,1883.75,35628500
2-Mar,1906.48999,1996.329956,1869.5,1901.089966,1901.089966,29090900
9-Mar,1773.859985,1894.27002,1675,1785,1785,40727200
16-Mar,1641.51001,1957,1626.030029,1846.089966,1846.089966,49697400
23-Mar,1827.75,1956.48999,1812,1900.099976,1900.099976,33043900
30-Mar,1922.829956,1993.02002,1889.150024,1906.589966,1906.589966,23317500
6-Apr,1936,2053,1930.02002,2042.76001,2042.76001,19520100
13-Apr,2040,2461,2038,2375,2375,41638700
20-Apr,2389.949951,2444.97998,2279.659912,2410.219971,2410.219971,26364100
27-Apr,2443.199951,2444.879883,2306,2372.709961,2372.709961,15506600
